gene	chromosome	gene_tss	gene_end
HARS2	5	140691430	140699305
TCAIM	3	44338119	44409451
MORF4	4	173616906	173616906
DUS2	16	67987746	68079320
RANP6	4	173634371	173634371
LINC02269	4	173699082	174001488
AC106895.1	4	173913252	173913252
PAN2	12	56333663	56334053
AC106895.2	4	173990851	173991024
AL590103.1	1	21768269	21768575
LINC02268	4	174220398	174220398
LDLRAD2	1	21812265	21825225
AD001527.2	19	36114362	36115146
AC012055.1	4	174154637	174154637
AC012055.2	4	174168913	174168913
FBXO8	4	174283667	174283667
CAPNS1	19	36140066	36150353
HSPG2	1	21830713	21937310
CAMKMT	2	44361950	44772592
ZBTB24	6	109483219	109483219
LINC01833	2	44923039	44939199
AL109947.1	6	109487906	109506800
AC012354.9	2	44928396	44928396
AC012354.2	2	44932320	44932406
AC012354.7	2	44934055	44934271
AC012354.5	2	44935294	44935368
AC012354.8	2	44935585	44935908
AC012354.4	2	44937426	44937696
AK9	6	109533333	109691217
AC012354.3	2	44938833	44939028
CEP44	4	174283911	174333380
AC012354.6	2	44940045	44940245
SIX3-AS1	2	44941873	44941873
SIX3	2	44941702	44946071
NAT10	11	34105629	34147670
AL590556.1	1	21908098	21908580
AC012354.1	2	44954664	44968762
AL590556.2	1	21956871	21956871
KRTCAP2P1	2	44996413	44996873
CELA3B	1	21977022	21998642
SIX2	2	45009452	45009452
C3orf86	3	44439917	44439946
LINC01988	3	44424134	44429529
AC093702.1	2	45013668	45013668
AL590556.3	1	21983606	22030617
LINC01121	2	45323385	45323397
RN7SL386P	1	21987481	21987777
RNU6-1022P	1	21987816	21987919
CELA3A	1	22001657	22012542
AC093833.1	2	45168583	45169414
AC009236.2	2	45169616	45211673
AC009236.1	2	45173722	45175935
AC116616.1	4	174376445	174376445
MIR4276	4	174423795	174423864
HPGD	4	174522488	174523154
SRBD1	2	45611267	45612165
RN7SL186P	1	22010650	22010946
RNU6-776P	1	22010985	22011088
LINC01635	1	22026048	22026048
AC099669.1	3	44529391	44529391
LINC00339	1	22024558	22031223
AD001527.1	19	36148348	36148348
COX7A1	19	36152025	36152449
ZMAT2	5	140698680	140706686
RN7SL414P	2	45569492	45569492
KARS1P3	16	68004952	68004952
IL23A	12	56334174	56340410
DPEP2NB	16	68015911	68015911
RNU6-359P	16	68017817	68017817
DDX28	16	68023232	68023232
AC002984.1	19	36173853	36173853
AC130462.2	16	68077340	68122271
FIG4	6	109691249	109878098
VTRNA1-1	5	140711275	140711373
VTRNA1-2	5	140718925	140719013
VTRNA1-3	5	140726158	140726246
ZNF565	19	36214665	36246257
AC116353.4	5	140732863	140732863
AC116353.3	5	140764110	140764821
AC005609.5	5	140828549	140828549
PRKCE	2	45651345	46187990
CDC42	1	22025511	22101360
STAT2	12	56349775	56360167
PCDHA1	5	140786136	141012347
NFATC3	16	68084751	68229259
AC096751.2	4	174536640	174541047
ZNF146	19	36214602	36238771
AC096751.1	4	174540344	174540344
GLRA3	4	174829247	174829247
LINC00665	19	36264788	36331770
PCDHA2	5	140794852	141012347
AL158212.2	10	112951875	112951875
RPS15AP30	10	112987476	112987865
RNU7-165P	10	113353425	113353484
AL133482.1	10	113492054	113492054
PCDHA3	5	140801028	141012347
PPIAP39	10	113482616	113483113
ADAM29	4	174829668	174978180
HABP2	10	113553053	113589602
CDC42-AS1	1	22052927	22052927
PCDHA4	5	140806929	141012347
AL031281.1	1	22030527	22030748
CDC42-IT1	1	22059197	22064199
MPHOSPH6P1	1	22068827	22068827
PRKCE-AS1	2	45675476	45675476
RPL26P15	2	46004309	46004309
WNT4	1	22143097	22143969
AC017006.2	2	46078828	46078828
AC092296.2	19	36304564	36321274
PCDHA5	5	140821604	141012347
AC017006.1	2	46167978	46167978
RPL36AP14	2	46257177	46257177
NRAP	10	113664046	113664070
PCDHA6	5	140827958	141012347
AL445253.1	1	22142850	22157401
MIR4418	1	22266239	22266300
PPIAP34	1	22323331	22323331
ZFP14	19	36379201	36379201
AL591122.1	1	22366482	22366482
EPAS1	2	46293667	46386697
ABTB2	11	34358010	34358010
AC105914.1	4	174924038	174924038
AC105914.2	4	174979381	174979381
AC092296.1	19	36378028	36378832
AC092296.4	19	36380912	36380912
AC022325.1	4	175017016	175019214
AC022325.2	4	175236669	175236669
ZFP82	19	36405623	36418644
AC095050.2	4	175286605	175290767
ZBTB40	1	22428838	22531157
AC095050.1	4	175403110	175403110
AC131094.1	4	175466697	175473197
TSEN2P1	4	175494614	175496000
ADAM20P2	4	175574868	175576140
AC092296.3	19	36421536	36422534
PCDHA7	5	140834248	141012347
ZNF566	19	36449555	36489902
PCDHA8	5	140841187	141012347
GPM6A	4	176002332	176002664
PCDHA9	5	140847772	141012347
AC005609.2	5	140849696	140849696
MMADHCP2	11	34336003	34336003
AL035079.1	11	34404949	34404949
PCDHA10	5	140855883	141012347
CIR1P3	11	34430880	34431649
GPR6	6	109978256	109980718
CAT	11	34438934	34472060
ST7-OT4	7	116953899	117098806
ZBTB40-IT1	1	22517474	22519708
LINC01820	2	46394228	46394228
AL590009.1	6	110040241	110040241
AC092295.2	19	36489649	36491040
CTBP2P7	19	36498159	36498159
EPHA8	1	22563489	22603595
AC106873.8	7	116954391	117119719
LINC02583	2	46429190	46441833
AC106873.3	7	116954480	116954679
AC106873.2	7	116954983	116955154
ZNF260	19	36528271	36528271
AC106873.6	7	116956431	116956723
AC106873.4	7	116959593	116959805
WASF1	6	110179702	110180004
AC106873.1	7	116967472	116967472
TPM3P1	7	116972911	116972911
AC016912.2	2	46429195	46484424
MIR6132	7	117020211	117020319
ST7-AS2	7	117074724	117146480
AC016912.1	2	46429229	46501278
PCDHA14	5	140861224	140863521
RN7SL817P	2	46448511	46448511
AC092295.1	19	36528318	36535235
AC005609.4	5	140867959	140867959
PCDHA11	5	140868183	141012347
TMEM247	2	46479565	46484425
ZNF529	19	36547764	36605276
AC124045.1	3	44667412	44669364
RNU7-40P	12	56352450	56352450
APOF	12	56362857	56362857
MIR6127	1	22633366	22633366
AC002542.6	7	117097262	117097262
ATP6V1E2	2	46542178	46542577
AC002542.2	7	117117912	117117983
APONP	12	56377331	56377331
AC002542.3	7	117184126	117184199
C1QA	1	22636628	22639678
AC025574.1	12	56382711	56382711
AC002542.1	7	117187740	117187740
AC002542.5	7	117190133	117190269
AC002542.4	7	117191647	117191761
AC006326.1	7	117264888	117264888
AC024884.2	12	56413190	56413190
AC024884.1	12	56414045	56414045
TIMELESS	12	56449426	56449426
C1QC	1	22643633	22648110
ZNF529-AS1	19	36573070	36594708
MTND4P6	7	117263917	117264388
MTCYBP6	7	117264530	117264530
PCDHA12	5	140875302	141012347
WNT2	7	117323099	117323152
C1QB	1	22652762	22661637
RHOQ	2	46541806	46584688
ZNF382	19	36604817	36634114
ELF5	11	34513794	34525193
AC097537.1	4	175790307	175812189
AC110794.1	4	175962061	175962485
MARK2P4	4	176014417	176014417
WDR17	4	176065841	176182818
AC005609.3	5	140875922	140875922
AC005609.1	5	140882642	140882642
PCDHA13	5	140882124	141012347
CFTR	7	117287120	117715971
RHOQ-AS1	2	46580238	46580238
ZNF461	19	36666819	36666853
EPHB2	1	22710839	22921500
PIGF	2	46617041	46617055
PCDHAC1	5	140926369	141012347
AC074138.1	19	36668102	36669404
LINC01534	19	36687449	36687449
ZNF567	19	36687612	36727701
AC010223.1	5	140966490	140966490
AL137224.1	11	34557924	34557924
PCDHAC2	5	140966470	141012347
CDC40	6	110180141	110254275
LINC02707	11	34570876	34573982
CRIPT	2	46616416	46630176
ZNF850	19	36772825	36772825
EHF	11	34621093	34663288
AC244517.5	5	141062533	141096402
AC020928.1	19	36773153	36777078
AC020604.1	2	46668870	46670778
PCDHB1	5	141051374	141059346
AC244517.9	5	141078076	141084481
LINC01118	2	46698940	46822804
AC093605.1	4	176098163	176098285
PCDHB2	5	141094615	141098703
MIP	12	56454657	56469166
AC020928.2	19	36775908	36775908
SPATA4	4	176195585	176195585
ZNF790-AS1	19	36797516	36831596
SOCS5	2	46698952	46780245
AC244517.2	5	141102213	141174391
MIR4684	1	22719517	22719598
AL512444.1	1	22836849	22836849
AC097104.1	12	56488170	56488170
CASP7	10	113679183	113730907
MIR4253	1	22863226	22863226
SPRYD4	12	56468578	56479708
ASB5	4	176269222	176277571
LACTBL1	1	22965338	22965338
PCDHB3	5	141100473	141103827
LINC01119	2	46816697	46859007
ZNF790	19	36838387	36850787
AC244517.1	5	141118680	141120765
TEX46	1	23014024	23015852
PCDHB4	5	141121818	141125623
PCDHB5	5	141135206	141138615
AC016722.1	2	46853496	46853496
AC016722.2	2	46899275	46908678
AC244517.11	5	141241744	141245380
GLS2	12	56472472	56488414
METTL24	6	110358272	110358272
PCDHB6	5	141150022	141153287
SPCS3-AS1	4	176320458	176320458
PCDHB17P	5	141155996	141159061
AL050350.1	6	110341973	110354563
SPCS3	4	176319966	176332245
AC244517.12	5	141168231	141168893
PCDHB7	5	141172644	141176383
DDO	6	110415562	110415575
PCDHB8	5	141177790	141180539
KDM1A	1	23019443	23083689
AC244517.8	5	141177849	141182369
PCDHB16	5	141181399	141186399
AC093801.2	4	176633231	176633231
AC093801.1	4	176669621	176706145
AC244517.6	5	141182409	141188582
ZNF345	19	36850361	36913029
SLC22A16	6	110425382	110476641
VEGFC	4	176792922	176792922
AC244517.4	5	141201396	141201396
PCDHB9	5	141187127	141191541
MCFD2	2	46915780	46941855
AC002465.1	7	117350096	117350096
AC244517.7	5	141194088	141194088
PCDHB10	5	141192353	141195647
ASZ1	7	117427493	117428123
RN7SL617P	6	110440303	110440303
AC002464.1	6	110477907	110479436
PCDHB11	5	141199627	141203779
AL512430.3	6	110562615	110562615
AL512430.4	6	110598093	110598705
AC097518.2	4	177301158	177301253
PCDHB12	5	141208697	141212571
CDK19	6	110815469	110815958
AC092673.1	4	176875457	176875457
LINC02509	4	176875702	176908031
PCDHB13	5	141213919	141218979
RN7SKP136	4	177181442	177181741
AC097518.1	4	177248773	177248773
PCDHB14	5	141222932	141227759
ZNF829	19	36916021	36916291
AC087783.1	11	34709600	34710161
AL359999.1	11	34742906	34743199
NEIL3	4	177309874	177362936
AC244517.10	5	141223372	141245861
PCDHB18P	5	141234333	141237529
APIP	11	34890741	34916379
PCDHB19P	5	141239923	141243034
PCDHB15	5	141245395	141249365
AC244517.3	5	141259235	141261364
RPL31P61	19	36901742	36902117
TAF7	5	141320645	141320784
AL592546.2	10	113719332	113719332
AC027627.1	4	177357032	177357032
SLC25A2	5	141304049	141304049
AGA	4	177442437	177442437
AC005618.4	5	141320980	141325985
AC005618.1	5	141326210	141329357
PLEKHS1	10	113751262	113783429
ZNF568	19	36916329	36998700
PCDHGA1	5	141330571	141512981
PCDHGA2	5	141338760	141512975
ANKRD49P4	7	117440780	117440780
AC000111.2	7	117487737	117487929
CFTR-AS1	7	117564676	117564676
AC000111.1	7	117586416	117586416
AC000061.1	7	117647415	117647415
PCDHGA3	5	141343829	141512975
CTTNBP2	7	117873441	117874139
AL031428.1	1	23088058	23088058
AC078881.1	4	177444979	177681381
PCDHGB1	5	141350102	141512979
MIR3115	1	23044305	23044372
AL512430.1	6	110645699	110646558
AL031428.2	1	23057934	23057934
AL512430.2	6	110700562	110700900
AL603914.1	6	110706882	110706882
AC005618.3	5	141350662	141350662
RNA5SP172	4	177457228	177457228
RNU6-957P	6	110722348	110722348
AC103879.1	4	177691068	177691068
SNORA40C	6	110848546	110848673
LUZP1	1	23177808	23177808
RNU6-1115P	6	110856417	110856522
PCDHGA4	5	141355021	141512975
CNN2P9	6	110858239	110859147
LINC01098	4	177728757	178028971
Z84480.1	6	110863860	110864451
PDHX	11	34915829	35020591
LINC01099	4	177907862	177907936
AMD1	6	110874770	110898879
RNU1-45P	4	178116861	178116861
AC095041.1	4	178286695	178287285
PCDHGB2	5	141360042	141512979
RNA5SP173	4	178406695	178406830
AC017087.1	4	178685956	178685956
MIR4483	10	113778054	113778054
AC018710.1	4	179069437	179069594
AL592546.1	10	113820459	113820590
AC020551.1	4	179465305	179465305
PCDHGA5	5	141364232	141512979
DCLRE1A	10	113854082	113854383
AC021193.1	4	179856853	179857581
AC108169.1	4	180059792	180059792
AC098649.1	3	44899178	44900925
AC096747.1	4	180117163	180117163
PCDHGB3	5	141370242	141512975
NDUFB5P1	4	180574027	180574027
AC104803.1	4	180759038	180759038
PCDHGA6	5	141373891	141512975
LINC00290	4	181159149	181159149
AC019235.1	4	181237564	181237564
LINC02500	4	181265029	181265145
AL161672.1	1	23140325	23141142
PCDHGA7	5	141382739	141512975
AC093840.1	4	181522666	181523001
ZNF420	19	37007857	37130368
RNU6-514P	1	23162704	23162810
RNU6-135P	1	23163953	23164053
AC093840.2	4	181590255	181591969
ZDHHC3	3	44976182	44976185
AC084741.1	4	181700142	181700142
HTR1D	1	23194729	23194729
TEMN3-AS1	4	181829973	181829973
RN7SKP13	4	181835108	181835108
TENM3-AS1	4	182144195	182145249
AL109936.1	1	23244765	23245224
PCDHGB4	5	141387698	141512975
NHLRC2	10	113854661	113917194
PCDHGA8	5	141390157	141512979
AC010632.3	19	37025254	37025254
AC010632.1	19	37078605	37078605
AC010632.2	19	37091341	37092564
CCNHP1	4	181906467	181906467
AC012309.1	19	37207074	37210512
TENM3	4	182143987	182803024
AL109936.9	1	23297797	23302866
AL592546.3	10	113869614	113869614
PCDHGB5	5	141397987	141512979
ADRB1	10	114043866	114046904
ZNF585A	19	37172726	37172741
PCDHGA9	5	141402932	141512979
AC022023.2	10	114118700	114118700
RNU6-709P	10	114111414	114111517
UBE2V1P5	10	114117147	114117551
PCDHGB6	5	141408021	141512979
CCDC186	10	114174203	114174232
TTC7A	2	46916157	47076137
PCDHGA10	5	141412987	141512979
AC108142.1	4	182144852	182190382
AC007568.1	7	117882859	117883675
MIR1305	4	182169293	182169378
AC003084.1	7	118004045	118004045
RNU2-34P	4	182548659	182548779
RN7SKP67	4	182631688	182631688
AC079226.2	4	182708042	182708042
PCDHGB7	5	141417645	141512975
AC079226.1	4	182773931	182773931
AC114798.1	4	182828100	182830597
LSM8	7	118184164	118204035
AC079766.1	4	182882203	182882203
RPL12P44	3	44937673	44938482
AL357515.1	6	110923566	110924107
GTF3C6	6	110958706	110967890
PCDHGA11	5	141421047	141512975
AC012309.2	19	37141640	37141640
DCTD	4	182917369	182917936
EXOSC7	3	44975241	45036066
ZNF585B	19	37210536	37218153
RPF2	6	110982015	111028263
ANKRD7	7	118214669	118496171
AC022023.1	10	114168280	114168280
MIR2110	10	114174179	114174179
PCDHGB8P	5	141426286	141429158
TDRD1	10	114179270	114232304
AC005618.2	5	141427752	141427752
AC002529.1	7	118511942	118513830
GTF3AP6	7	118881288	118881288
PCDHGA12	5	141430589	141512975
MIR1343	11	34941837	34941920
AL356215.1	11	35138032	35138032
GSTM2P1	6	111047521	111047521
AC092098.1	7	118951259	118951259
HSPD1P4	12	56511002	56512703
SLC16A10	6	111087503	111231194
AC079791.1	7	119179149	119179149
LINC02476	7	119907375	119907397
ZNF383	19	37217926	37248738
RBMS2	12	56521820	56596193
PCDHGB9P	5	141439853	141442449
RNU1-29P	7	120006101	120006101
AC004946.1	7	120227213	120227213
AC008781.2	5	141468465	141471528
AC004946.2	7	120166443	120186064
KCND2	7	120273175	120750337
PCDHGC3	5	141475947	141512977
CLEC3B	3	45001548	45036071
RNU6-960P	6	111091332	111091332
VWA2	10	114239330	114294489
AL360227.1	6	111259034	111259034
RNU6-581P	7	120672871	120672975
AC004888.1	7	120752514	120752514
MFSD4B	6	111259339	111445354
RNU5B-3P	3	45034588	45034588
TSPAN12	7	120858144	120858402
AC016590.1	19	37304340	37304395
CDCP1	3	45146378	45146422
AURKAP2	10	114246074	114246714
AC005383.1	10	114281258	114281258
AFAP1L2	10	114404502	114404756
AC019193.4	4	183017426	183036100
AC019193.1	4	183029720	183029720
LINC01535	19	37251885	37265535
CIBAR1P2	4	183037665	183040119
AC019193.3	4	183076033	183076033
RPS24P8	3	45160175	45160175
AC019193.2	4	183095056	183095056
WWC2-AS2	4	183099199	183099199
TMEM158	3	45226287	45226287
WWC2	4	183099257	183320777
RN7SL68P	5	141479316	141479625
AC016590.4	19	37304451	37309641
PCDHGC4	5	141484997	141512979
AL080317.1	6	111297126	111298510
ING3	7	120950777	120977216
REV3L	6	111315637	111483715
AC130462.1	16	68189287	68189421
AC020978.6	16	68199795	68200981
AC020978.8	16	68200981	68200981
LARS2	3	45388561	45554726
RPS12P27	16	68209442	68209778
AC020978.3	16	68221671	68221671
ZNF875	19	37312837	37369365
AC020978.7	16	68224713	68227734
AC020978.5	16	68229145	68229145
RNU6-343P	12	56588518	56588621
ESRP2	16	68236127	68238102
PCDHGC5	5	141489081	141512975
BAZ2A	12	56636366	56636816
CD44	11	35138882	35232402
RN7SL384P	10	114424067	114424067
AL133384.2	10	114427398	114427398
DIAPH1	5	141524755	141619055
ABLIM1	10	114526931	114768061
MIR6773	16	68233499	68233499
AC020978.4	16	68237667	68237667
PLA2G15	16	68245304	68261058
WWC2-AS1	4	183240634	183240634
CLDN22	4	183320276	183320276
CLDN24	4	183322426	183322426
RNA5SP240	7	120981553	120981553
AC093844.1	4	183380345	183381705
AC112698.1	4	183419805	183419805
CDKN2AIP	4	183444636	183449064
CPED1	7	120988711	121297442
VTI1BP2	4	183483490	183484185
AC107214.1	4	183504494	183504494
ING2	4	183505058	183512429
AL109936.2	1	23379029	23379029
AC016590.3	19	37315620	37315620
AC107214.2	4	183516894	183517527
AC016590.2	19	37337236	37337743
ZNF527	19	37371061	37393066
RWDD4	4	183659185	183659203
AC020978.2	16	68258867	68260443
SLC7A6	16	68264516	68301823
AC008806.1	19	37403846	37403846
LARS2-AS1	3	45509545	45509545
ZNF569	19	37467229	37469275
LIMD1	3	45555394	45686341
ATP5F1B	12	56645279	56645984
RNU6-479P	4	183653676	183653676
TRAPPC11	4	183659293	183713594
AL357134.1	1	23410832	23412146
HMGN1P18	7	121050927	121051203
ZNF570	19	37467585	37488652
RNA5SP241	7	121083813	121083813
RNU6-517P	7	121195057	121195057
AC006364.1	7	121309842	121309842
WNT16	7	121325367	121341104
LIMD1-AS1	3	45689179	45689200
SNORD59A	12	56645101	56645101
PTGES3	12	56687997	56688408
FAM3C	7	121396308	121396364
ZNF793-AS1	19	37506624	37507122
AC022148.2	19	37504465	37504465
ZNF793	19	37506939	37548762
SACM1L	3	45689056	45745409
AC093732.2	2	46956888	46956888
CYCSP19	7	121398452	121398767
DIAPH1-AS1	5	141558311	141565263
AC093732.1	2	47040524	47040524
AL133384.1	10	114502347	114502347
RPS27AP10	5	141588935	141589142
PPIAP19	10	114690634	114690634
AC008781.1	5	141618414	141626481
AL137025.1	10	114764788	114794344
AC074085.1	7	121419072	121419845
STPG4	2	47108802	47155308
HDAC3	5	141635164	141636849
AC074085.2	7	121441261	121441261
AC004875.1	7	121686363	121686363
TAF9BP2	10	114809375	114811170
RN7SKP277	7	121736443	121736725
PNPT1P2	7	121845131	121845131
FAM160B1	10	114821780	114899832
AC022148.1	19	37549171	37549171
RNU6-335P	4	183675715	183675715
RNU6-1053P	4	183705931	183706031
AC073283.3	2	47176511	47176511
ZNF571-AS1	19	37548914	37587348
AC108477.2	4	183725830	183732570
AC108477.1	4	183765721	183765721
RNU6-1262P	16	68284318	68284318
STOX2	4	183797692	184023526
AC073283.1	2	47067822	47071204
SLC7A6OS	16	68304131	68310946
AC074194.1	4	183987669	183996680
PTPRZ1	7	121873089	122062036
AC074194.2	4	184014035	184016382
AC107222.1	4	184072403	184073039
ENPP6	4	184217873	184221230
AC020978.9	16	68292790	68292790
ZNF540	19	37551406	37614179
RPL15P13	10	114900722	114901366
AL080317.2	6	111309203	111313517
TRUB1	10	114938195	114977676
FCF1P5	6	111353702	111354183
REV3L-IT1	6	111361607	111361607
BRD7P4	6	111430260	111431781
PRMT7	16	68310974	68358584
TRAF3IP2-AS1	6	111483511	111598302
AC107222.2	4	184100482	184106038
RNU6-1121P	10	114969568	114969568
AC079080.1	4	184254509	184255330
LINC02626	10	114994657	114996593
RN7SL28P	4	184278936	184279233
MYL12BP2	4	184299640	184299640
LINC02363	4	184353977	184353977
ATRNL1	10	115093365	115948999
LINC02362	4	184369870	184382416
CALM2	2	47176511	47176921
ZNF571	19	37594755	37594792
RELL2	5	141636950	141641064
RN7SL809P	12	56670746	56670746
AL136310.1	6	111495713	111495713
AL008730.1	6	111511071	111511071
IRF2	4	184474550	184474550
NACA	12	56725271	56731628
TRAF3IP2	6	111605878	111606906
ZFP30	19	37654729	37692337
FCHSD1	5	141651418	141651418
RN7SL145P	3	45742675	45742970
AC098476.1	3	45749627	45750651
SLC6A20	3	45796470	45796536
ZNF781	19	37692315	37692315
AC016042.1	10	115218819	115218819
NTAN1P1	10	115820487	115820487
GFRA1	10	116272282	116273284
SNORD79	4	184431966	184432049
AC099343.2	4	184472609	184472609
IRF2-DT	4	184474802	184477304
AC099343.3	4	184484141	184490293
AL021154.1	1	23550915	23550915
AC093227.2	19	37719188	37719188
LINC02427	4	184537626	184537626
AC099343.1	4	184559783	184559783
LINC02365	4	184625030	184625030
SELENOKP1	19	37693564	37693564
AL450043.1	1	23593621	23593621
MDS2	1	23581495	23640568
ZNF607	19	37719761	37719761
CASP3	4	184648592	184649509
AL451000.1	1	23670294	23680259
AC020978.1	16	68316801	68319036
RNU4-30P	16	68329529	68329529
RPL11	1	23691742	23696835
ARAP3	5	141682203	141682230
AC093227.1	19	37730643	37730643
SMPD3	16	68448508	68448508
AC093227.3	19	37728596	37730733
AC012470.1	10	116274270	116281071
CCDC172	10	116324448	116380029
ZNF573	19	37740138	37817300
Z97989.1	6	111599875	111602295
SNRPGP6	10	116409256	116409475
PNLIPRP3	10	116427847	116477957
ELOA-AS1	1	23778283	23778296
FYN	6	111873067	111873452
HMGB3P8	10	116440044	116440044
RNU6-1090P	10	116538183	116538276
LZTFL1	3	45842119	45916042
PNLIP	10	116545931	116567855
AC016582.2	19	37779686	37792865
AC016582.3	19	37817359	37832160
ELOA	1	23743155	23762059
AC016582.1	19	37855196	37855215
AC099521.2	16	68370262	68370262
AC099521.3	16	68448843	68450002
AC099521.1	16	68450283	68452318
PRIMPOL	4	184649667	184694963
PNLIPP1	10	116577308	116583317
WDR87	19	37906594	37906677
RPL35AP33	16	68477570	68477570
EPCAM-DT	2	47344989	47345074
PNLIPRP1	10	116590385	116609175
ZFP90	16	68530090	68576072
AC073283.2	2	47225794	47240886
PITHD1	1	23778418	23788232
SIPA1L3	19	37907208	38208369
BCYRN1	2	47335315	47335514
EPCAM	2	47345158	47387601
LYPLA2	1	23791145	23795539
AC099782.1	3	45842265	45866571
CENPU	4	184734096	184734130
SDHDP4	3	45884113	45884113
AC005753.2	5	141775187	141775187
AC005753.3	5	141825488	141825488
CCR9	3	45886543	45903175
AC008395.1	19	37963853	37964790
AC005753.1	5	141826325	141826325
AC011465.1	19	38109533	38109533
AC011479.3	19	38184376	38186265
AC011479.2	19	38199836	38200934
PCDH1	5	141878410	141879246
RN7SL663P	19	38200234	38200532
DPF1	19	38224250	38229714
FYCO1	3	45958572	45995824
AC005740.5	5	141882815	141907939
AC005740.1	5	141896689	141896689
AC117378.1	12	56741535	56741535
DELE1	5	141923871	141942047
RNU4-36P	16	68535515	68535658
PRIM1	12	56752374	56752374
AC126773.3	16	68589512	68589512
AC126773.6	16	68591382	68594424
AC126773.1	16	68630354	68630354
AC126773.2	16	68630968	68630968
CDH3	16	68636189	68722616
ACSL1	4	184825968	184826818
AASS	7	122086153	122144255
RN7SKP119	2	47359777	47359777
MIR559	2	47377675	47377770
CXCR6	3	45940933	45948351
PNLIPRP2	10	116620953	116645143
XCR1	3	46027483	46027487
PCDH12	5	141958202	141969741
NRBF2P2	3	46023296	46024156
FLT1P1	3	46143677	46143677
HSD17B6	12	56752161	56787790
AC005740.4	5	141952419	141953375
CCR3	3	46163604	46266706
AC126773.4	16	68646168	68646168
AC126773.5	16	68651948	68651948
HSPE1P5	16	68686399	68686670
RNF14	5	141958328	141990292
C10orf82	10	116669970	116670264
CDH1	16	68737292	68835541
CCR1	3	46208313	46208313
UQCRC2P1	3	46311922	46311922
AC016825.1	10	116670034	116672750
GALE	1	23800754	23800781
CCR2	3	46354111	46360940
CCR5AS	3	46407059	46407059
AC121758.2	12	56822985	56874268
CCR5	3	46370854	46376206
AC121758.4	12	56841273	56841273
AC121758.3	12	56855694	56855886
HSPA12A	10	116742566	116850251
LINC02527	6	111909420	111909420
AC121758.1	12	56861375	56861508
SDR9C7	12	56934408	56934408
CCRL2	3	46407259	46412997
AC026120.2	12	56941482	56941482
MSH2	2	47403067	47663146
RDH16	12	56958319	56959374
CCN6	6	112054075	112069686
RNU7-154P	7	122081720	122081781
AC015983.2	7	122216347	122219277
AC026120.1	12	56985960	56985960
AC026120.3	12	56987734	56990756
LINC02009	3	46423591	46423591
GPR182	12	56994492	56998447
AC006020.1	7	122159300	122162243
ZBTB39	12	57006546	57006546
AC015983.1	7	122234531	122234903
TAC3	12	57016529	57028883
FEZF1	7	122304750	122310691
SPINT2	19	38244035	38292615
AC005740.3	5	141982687	141982687
GNPDA1	5	142013027	142013041
FEZF1-AS1	7	122303658	122310119
LTF	3	46464905	46485234
CADPS2	7	122438376	122886759
RPL5P27	10	116749905	116751261
ENO4	10	116849499	116911788
HMGCL	1	23825429	23838620
CD44-AS1	11	35214985	35214985
TUBE1	6	112087482	112087529
PPP1R14A	19	38253257	38256532
AL133330.1	11	35212550	35214007
SHTN1	10	117005365	117126586
SLED1	4	184799046	184799046
AC084871.1	4	184813619	184821300
AC084871.3	4	184826607	184850920
MIR3945HG	4	184855751	184855751
AC011479.1	19	38289151	38304910
MIR3945	4	184851110	184851110
AC011479.4	19	38292423	38292423
LINC01093	4	184899488	184899553
FUCA1	1	23868290	23868290
AC005740.2	5	142037125	142037125
FAM229B	6	112087591	112102790
NDFIP1	5	142108779	142154440
YIF1B	19	38315914	38317273
CNR2	1	23913362	23913362
BTBD6P1	1	23902737	23902737
AL590609.2	1	23907111	23907885
MIR378F	1	23929070	23929147
H3P1	1	23949383	23949383
AC091825.3	5	142165767	142168387
SPRY4	5	142325001	142326455
PNRC2	1	23956839	23963462
AC091825.2	5	142317830	142317920
AC091825.1	5	142318047	142318167
SPRY4-AS1	5	142325293	142672001
AC084871.2	4	184911352	184911352
LAMA4	6	112254567	112254939
MIR4455	4	184938440	184938440
AC112243.1	4	184988127	184988127
LINC02437	4	184988997	185005186
RPS12P10	5	142566700	142567076
HELT	4	185018841	185020804
FGF1	5	142621342	142698070
AC023283.1	10	117005462	117006416
AC012308.1	10	117023851	117023851
VAX1	10	117138301	117138301
LINC02436	4	185051896	185115500
RNA5SP429	16	68742480	68742588
AC099314.1	16	68823526	68823526
SRSF10	1	23980331	23980927
MIR3663HG	10	117169059	117169108
FTLP14	16	68822587	68823070
MYO1A	12	57050129	57051198
TANGO6	16	68843604	69085182
MIR3663	10	117167774	117167774
RPL12P26	10	117196654	117196654
KCNK18	10	117197489	117210299
AL731557.1	10	117241923	117241923
SLC18A2	10	117241093	117279430
AC009137.1	16	68948261	68948261
AC009137.2	16	68933820	68937725
RNU6-898P	16	69007155	69007155
AC009027.1	16	69026643	69026643
RPS2P45	16	69033675	69036042
HAS3	16	69105653	69118719
AC005592.1	5	142703782	142705421
LINC01844	5	142745587	142761035
SLC1A2	11	35419558	35420063
AL391988.1	10	117268668	117268668
PDZD8	10	117375440	117375440
AL590609.1	1	24008519	24008519
AL591178.1	1	24040835	24086799
AC005871.2	10	117425194	117490419
DERPC	16	69132151	69132151
EMX2OS	10	117477173	117545068
MYOM3	1	24066579	24112135
AC093824.1	4	185064981	185065323
AC005592.2	5	142737461	142737461
AC093824.2	4	185127478	185127478
CHTF8	16	69132588	69132588
